"Label (Grouping)","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Male!!Estimate","Iowa!!Male!!Margin of Error","Iowa!!Percent Male!!Estimate","Iowa!!Percent Male!!Margin of Error","Iowa!!Female!!Estimate","Iowa!!Female!!Margin of Error","Iowa!!Percent Female!!Estimate","Iowa!!Percent Female!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Male!!Estimate","Minnesota!!Male!!Margin of Error","Minnesota!!Percent Male!!Estimate","Minnesota!!Percent Male!!Margin of Error","Minnesota!!Female!!Estimate","Minnesota!!Female!!Margin of Error","Minnesota!!Percent Female!!Estimate","Minnesota!!Percent Female!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Male!!Estimate","Nebraska!!Male!!Margin of Error","Nebraska!!Percent Male!!Estimate","Nebraska!!Percent Male!!Margin of Error","Nebraska!!Female!!Estimate","Nebraska!!Female!!Margin of Error","Nebraska!!Percent Female!!Estimate","Nebraska!!Percent Female!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Male!!Estimate","North Dakota!!Male!!Margin of Error","North Dakota!!Percent Male!!Estimate","North Dakota!!Percent Male!!Margin of Error","North Dakota!!Female!!Estimate","North Dakota!!Female!!Margin of Error","North Dakota!!Percent Female!!Estimate","North Dakota!!Percent Female!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Male!!Estimate","South Dakota!!Male!!Margin of Error","South Dakota!!Percent Male!!Estimate","South Dakota!!Percent Male!!Margin of Error","South Dakota!!Female!!Estimate","South Dakota!!Female!!Margin of Error","South Dakota!!Percent Female!!Estimate","South Dakota!!Percent Female!!Margin of Error"
"Full-time, year-round civilian employed population 16 years and over","1,191,683","±13,058","676,738","±9,064","56.8%","±0.4","514,945","±7,323","43.2%","±0.4","2,131,057","±14,784","1,213,070","±10,250","56.9%","±0.3","917,987","±10,011","43.1%","±0.3","759,584","±8,096","434,126","±5,280","57.2%","±0.6","325,458","±6,626","42.8%","±0.6","295,055","±6,395","169,279","±4,541","57.4%","±1.0","125,776","±4,027","42.6%","±1.0","340,885","±5,691","196,298","±4,324","57.6%","±0.9","144,587","±3,902","42.4%","±0.9"
"    Management, business, science, and arts occupations:","520,697","±10,233","254,189","±7,027","48.8%","±0.9","266,508","±6,731","51.2%","±0.9","1,079,887","±15,171","548,861","±9,953","50.8%","±0.5","531,026","±8,603","49.2%","±0.5","353,185","±9,213","173,782","±5,943","49.2%","±0.9","179,403","±5,426","50.8%","±0.9","137,176","±5,278","71,519","±4,066","52.1%","±2.1","65,657","±3,836","47.9%","±2.1","156,270","±5,063","79,115","±3,580","50.6%","±1.5","77,155","±3,327","49.4%","±1.5"
"        Management, business, and financial occupations:","245,988","±8,008","134,983","±5,107","54.9%","±1.4","111,005","±5,361","45.1%","±1.4","506,680","±11,430","277,970","±8,066","54.9%","±0.9","228,710","±6,529","45.1%","±0.9","163,859","±5,886","93,199","±4,338","56.9%","±1.7","70,660","±3,818","43.1%","±1.7","63,176","±3,961","39,362","±3,105","62.3%","±2.8","23,814","±2,251","37.7%","±2.8","70,207","±3,441","42,791","±2,661","60.9%","±2.3","27,416","±2,078","39.1%","±2.3"
"            Management occupations","163,966","±7,154","100,320","±4,463","61.2%","±1.8","63,646","±4,669","38.8%","±1.8","330,395","±8,844","195,619","±7,152","59.2%","±1.3","134,776","±5,079","40.8%","±1.3","108,895","±5,024","70,630","±3,875","64.9%","±2.2","38,265","±3,081","35.1%","±2.2","44,479","±3,394","31,654","±2,755","71.2%","±3.4","12,825","±1,861","28.8%","±3.4","51,488","±3,094","35,667","±2,461","69.3%","±2.5","15,821","±1,623","30.7%","±2.5"
"            Business and financial operations occupations","82,022","±4,290","34,663","±3,075","42.3%","±2.7","47,359","±3,015","57.7%","±2.7","176,285","±6,580","82,351","±4,174","46.7%","±1.7","93,934","±4,785","53.3%","±1.7","54,964","±3,959","22,569","±2,587","41.1%","±3.3","32,395","±2,803","58.9%","±3.3","18,697","±2,226","7,708","±1,696","41.2%","±7.2","10,989","±1,769","58.8%","±7.2","18,719","±2,384","7,124","±1,416","38.1%","±5.8","11,595","±1,834","61.9%","±5.8"
"        Computer, engineering, and science occupations:","86,324","±4,586","65,845","±4,049","76.3%","±2.3","20,479","±2,215","23.7%","±2.3","212,652","±7,667","157,896","±5,983","74.3%","±1.3","54,756","±3,580","25.7%","±1.3","55,907","±3,575","41,017","±2,963","73.4%","±2.9","14,890","±1,940","26.6%","±2.9","22,622","±2,538","17,597","±2,090","77.8%","±4.7","5,025","±1,266","22.2%","±4.7","23,139","±2,794","17,686","±2,287","76.4%","±4.3","5,453","±1,239","23.6%","±4.3"
"            Computer and mathematical occupations","42,980","±3,266","32,506","±2,786","75.6%","±3.5","10,474","±1,781","24.4%","±3.5","107,979","±5,967","81,285","±4,783","75.3%","±2.0","26,694","±2,709","24.7%","±2.0","28,009","±2,722","21,236","±2,192","75.8%","±3.8","6,773","±1,336","24.2%","±3.8","9,217","±1,534","6,670","±1,114","72.4%","±7.2","2,547","±879","27.6%","±7.2","10,741","±1,894","8,309","±1,469","77.4%","±6.8","2,432","±932","22.6%","±6.8"
"            Architecture and engineering occupations","29,841","±2,684","25,594","±2,478","85.8%","±3.2","4,247","±1,031","14.2%","±3.2","72,032","±3,704","59,341","±3,239","82.4%","±1.9","12,691","±1,544","17.6%","±1.9","17,039","±2,072","13,074","±1,795","76.7%","±5.0","3,965","±995","23.3%","±5.0","8,642","±1,571","7,464","±1,468","86.4%","±6.6","1,178","±608","13.6%","±6.6","7,724","±1,404","6,304","±1,214","81.6%","±7.6","1,420","±671","18.4%","±7.6"
"            Life, physical, and social science occupations","13,503","±1,750","7,745","±1,354","57.4%","±6.0","5,758","±1,056","42.6%","±6.0","32,641","±2,642","17,270","±1,984","52.9%","±4.1","15,371","±1,777","47.1%","±4.1","10,859","±1,627","6,707","±1,216","61.8%","±7.0","4,152","±1,016","38.2%","±7.0","4,763","±1,093","3,463","±981","72.7%","±10.8","1,300","±581","27.3%","±10.8","4,674","±1,264","3,073","±1,162","65.7%","±12.8","1,601","±594","34.3%","±12.8"
"        Education, legal, community service, arts, and media occupations:","115,467","±5,367","37,061","±2,989","32.1%","±1.8","78,406","±3,776","67.9%","±1.8","222,011","±8,656","76,889","±4,426","34.6%","±1.6","145,122","±6,808","65.4%","±1.6","80,796","±5,217","28,627","±2,359","35.4%","±2.3","52,169","±4,160","64.6%","±2.3","30,494","±3,177","9,864","±1,670","32.3%","±4.1","20,630","±2,417","67.7%","±4.1","34,125","±2,966","12,576","±1,835","36.9%","±4.0","21,549","±2,193","63.1%","±4.0"
