"Label (Grouping)","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Male!!Estimate","Iowa!!Male!!Margin of Error","Iowa!!Percent Male!!Estimate","Iowa!!Percent Male!!Margin of Error","Iowa!!Female!!Estimate","Iowa!!Female!!Margin of Error","Iowa!!Percent Female!!Estimate","Iowa!!Percent Female!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Male!!Estimate","Minnesota!!Male!!Margin of Error","Minnesota!!Percent Male!!Estimate","Minnesota!!Percent Male!!Margin of Error","Minnesota!!Female!!Estimate","Minnesota!!Female!!Margin of Error","Minnesota!!Percent Female!!Estimate","Minnesota!!Percent Female!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Male!!Estimate","Nebraska!!Male!!Margin of Error","Nebraska!!Percent Male!!Estimate","Nebraska!!Percent Male!!Margin of Error","Nebraska!!Female!!Estimate","Nebraska!!Female!!Margin of Error","Nebraska!!Percent Female!!Estimate","Nebraska!!Percent Female!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Male!!Estimate","North Dakota!!Male!!Margin of Error","North Dakota!!Percent Male!!Estimate","North Dakota!!Percent Male!!Margin of Error","North Dakota!!Female!!Estimate","North Dakota!!Female!!Margin of Error","North Dakota!!Percent Female!!Estimate","North Dakota!!Percent Female!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Male!!Estimate","South Dakota!!Male!!Margin of Error","South Dakota!!Percent Male!!Estimate","South Dakota!!Percent Male!!Margin of Error","South Dakota!!Female!!Estimate","South Dakota!!Female!!Margin of Error","South Dakota!!Percent Female!!Estimate","South Dakota!!Percent Female!!Margin of Error"
"Civilian employed population 16 years and over","1,654,280","±12,938","864,048","±9,391","52.2%","±0.3","790,232","±7,034","47.8%","±0.3","3,048,320","±11,928","1,587,748","±7,868","52.1%","±0.2","1,460,572","±10,428","47.9%","±0.2","1,041,138","±7,865","550,020","±4,987","52.8%","±0.3","491,118","±5,664","47.2%","±0.3","410,066","±6,033","218,675","±4,255","53.3%","±0.7","191,391","±3,956","46.7%","±0.7","472,581","±5,879","249,767","±3,926","52.9%","±0.6","222,814","±4,127","47.1%","±0.6"
"    Management, business, science, and arts occupations:","657,528","±11,613","298,558","±7,850","45.4%","±0.8","358,970","±7,913","54.6%","±0.8","1,394,150","±15,370","649,349","±10,085","46.6%","±0.5","744,801","±9,755","53.4%","±0.5","442,537","±9,643","201,038","±6,536","45.4%","±0.8","241,499","±5,274","54.6%","±0.8","174,165","±6,208","84,346","±4,550","48.4%","±1.8","89,819","±4,377","51.6%","±1.8","192,238","±5,697","92,283","±4,076","48.0%","±1.4","99,955","±3,821","52.0%","±1.4"
"        Management, business, and financial occupations:","277,275","±8,182","148,612","±5,418","53.6%","±1.3","128,663","±5,552","46.4%","±1.3","582,627","±11,832","313,215","±8,227","53.8%","±0.9","269,412","±7,330","46.2%","±0.9","187,070","±5,782","104,404","±4,590","55.8%","±1.5","82,666","±3,494","44.2%","±1.5","73,238","±4,232","44,229","±3,401","60.4%","±2.5","29,009","±2,241","39.6%","±2.5","80,972","±3,961","48,493","±2,825","59.9%","±2.0","32,479","±2,326","40.1%","±2.0"
"            Management occupations","183,946","±7,620","110,726","±4,719","60.2%","±1.8","73,220","±5,120","39.8%","±1.8","377,794","±9,102","220,555","±7,160","58.4%","±1.2","157,239","±5,774","41.6%","±1.2","124,518","±5,189","78,620","±4,031","63.1%","±2.1","45,898","±3,301","36.9%","±2.1","51,234","±3,461","35,549","±2,821","69.4%","±3.2","15,685","±1,989","30.6%","±3.2","59,381","±3,494","40,235","±2,566","67.8%","±2.4","19,146","±1,950","32.2%","±2.4"
"            Business and financial operations occupations","93,329","±4,764","37,886","±3,371","40.6%","±2.5","55,443","±3,190","59.4%","±2.5","204,833","±7,299","92,660","±4,394","45.2%","±1.5","112,173","±5,048","54.8%","±1.5","62,552","±4,123","25,784","±2,670","41.2%","±2.9","36,768","±2,783","58.8%","±2.9","22,004","±2,335","8,680","±1,838","39.4%","±6.7","13,324","±1,907","60.6%","±6.7","21,591","±2,465","8,258","±1,449","38.2%","±5.0","13,333","±1,849","61.8%","±5.0"
"        Computer, engineering, and science occupations:","100,712","±5,229","76,667","±4,639","76.1%","±2.1","24,045","±2,385","23.9%","±2.1","245,018","±8,188","178,085","±6,559","72.7%","±1.3","66,933","±3,961","27.3%","±1.3","61,296","±3,728","44,638","±3,258","72.8%","±2.7","16,658","±1,927","27.2%","±2.7","26,253","±2,903","19,282","±2,177","73.4%","±5.1","6,971","±1,735","26.6%","±5.1","27,104","±3,055","20,740","±2,530","76.5%","±4.3","6,364","±1,416","23.5%","±4.3"
"            Computer and mathematical occupations","49,639","±3,630","37,154","±3,081","74.8%","±3.4","12,485","±1,976","25.2%","±3.4","121,545","±6,286","90,962","±5,258","74.8%","±1.9","30,583","±2,740","25.2%","±1.9","30,312","±2,702","22,841","±2,335","75.4%","±3.8","7,471","±1,338","24.6%","±3.8","9,835","±1,554","7,106","±1,151","72.3%","±6.7","2,729","±865","27.7%","±6.7","11,881","±1,994","8,747","±1,405","73.6%","±7.0","3,134","±1,127","26.4%","±7.0"
"            Architecture and engineering occupations","34,640","±2,776","29,468","±2,538","85.1%","±3.2","5,172","±1,201","14.9%","±3.2","81,428","±3,912","66,916","±3,619","82.2%","±1.8","14,512","±1,590","17.8%","±1.8","18,419","±2,197","14,115","±1,881","76.6%","±5.0","4,304","±1,078","23.4%","±5.0","10,634","±1,920","8,331","±1,506","78.3%","±10.6","2,303","±1,327","21.7%","±10.6","9,709","±1,689","8,276","±1,507","85.2%","±6.2","1,433","±673","14.8%","±6.2"
"            Life, physical, and social science occupations","16,433","±2,014","10,045","±1,585","61.1%","±5.2","6,388","±1,102","38.9%","±5.2","42,045","±3,362","20,207","±2,268","48.1%","±3.8","21,838","±2,359","51.9%","±3.8","12,565","±1,753","7,682","±1,323","61.1%","±6.1","4,883","±1,020","38.9%","±6.1","5,784","±1,323","3,845","±1,030","66.5%","±9.1","1,939","±698","33.5%","±9.1","5,514","±1,378","3,717","±1,239","67.4%","±10.9","1,797","±622","32.6%","±10.9"
"        Education, legal, community service, arts, and media occupations:","176,297","±7,600","52,625","±3,948","29.9%","±1.4","123,672","±5,075","70.1%","±1.4","351,653","±10,164","111,953","±5,286","31.8%","±1.2","239,700","±8,297","68.2%","±1.2","123,765","±6,639","38,571","±3,343","31.2%","±2.0","85,194","±5,111","68.8%","±2.0","46,961","±3,780","14,750","±1,925","31.4%","±3.3","32,211","±3,090","68.6%","±3.3","48,078","±3,505","15,785","±2,075","32.8%","±3.2","32,293","±2,590","67.2%","±3.2"
