"Label (Grouping)","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Percent!!Estimate","Iowa!!Percent!!Margin of Error","Iowa!!Male!!Estimate","Iowa!!Male!!Margin of Error","Iowa!!Percent Male!!Estimate","Iowa!!Percent Male!!Margin of Error","Iowa!!Female!!Estimate","Iowa!!Female!!Margin of Error","Iowa!!Percent Female!!Estimate","Iowa!!Percent Female!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Percent!!Estimate","Minnesota!!Percent!!Margin of Error","Minnesota!!Male!!Estimate","Minnesota!!Male!!Margin of Error","Minnesota!!Percent Male!!Estimate","Minnesota!!Percent Male!!Margin of Error","Minnesota!!Female!!Estimate","Minnesota!!Female!!Margin of Error","Minnesota!!Percent Female!!Estimate","Minnesota!!Percent Female!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Percent!!Estimate","Nebraska!!Percent!!Margin of Error","Nebraska!!Male!!Estimate","Nebraska!!Male!!Margin of Error","Nebraska!!Percent Male!!Estimate","Nebraska!!Percent Male!!Margin of Error","Nebraska!!Female!!Estimate","Nebraska!!Female!!Margin of Error","Nebraska!!Percent Female!!Estimate","Nebraska!!Percent Female!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Percent!!Estimate","North Dakota!!Percent!!Margin of Error","North Dakota!!Male!!Estimate","North Dakota!!Male!!Margin of Error","North Dakota!!Percent Male!!Estimate","North Dakota!!Percent Male!!Margin of Error","North Dakota!!Female!!Estimate","North Dakota!!Female!!Margin of Error","North Dakota!!Percent Female!!Estimate","North Dakota!!Percent Female!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Percent!!Estimate","South Dakota!!Percent!!Margin of Error","South Dakota!!Male!!Estimate","South Dakota!!Male!!Margin of Error","South Dakota!!Percent Male!!Estimate","South Dakota!!Percent Male!!Margin of Error","South Dakota!!Female!!Estimate","South Dakota!!Female!!Margin of Error","South Dakota!!Percent Female!!Estimate","South Dakota!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","315,032","±4,238","(X)","(X)","165,041","±2,655","(X)","(X)","149,991","±2,837","(X)","(X)","501,365","±3,592","(X)","(X)","256,677","±2,692","(X)","(X)","244,688","±2,256","(X)","(X)","192,539","±2,229","(X)","(X)","99,002","±1,543","(X)","(X)","93,537","±1,530","(X)","(X)","84,320","±2,883","(X)","(X)","43,524","±1,658","(X)","(X)","40,796","±1,940","(X)","(X)","84,994","±2,440","(X)","(X)","45,322","±1,676","(X)","(X)","39,672","±1,911","(X)","(X)"
"        Less than high school graduate","33,453","±3,276","10.6%","±1.0","17,921","±2,382","10.9%","±1.4","15,532","±2,260","10.4%","±1.5","56,370","±3,956","11.2%","±0.8","32,357","±2,830","12.6%","±1.1","24,013","±2,495","9.8%","±1.0","19,536","±2,758","10.1%","±1.4","11,633","±2,067","11.8%","±2.1","7,903","±1,575","8.4%","±1.7","8,031","±1,727","9.5%","±2.0","4,338","±1,363","10.0%","±3.1","3,693","±1,081","9.1%","±2.6","13,707","±2,207","16.1%","±2.4","7,246","±1,452","16.0%","±3.2","6,461","±1,421","16.3%","±3.3"
"        High school graduate (includes equivalency)","109,281","±5,359","34.7%","±1.6","63,205","±4,000","38.3%","±2.2","46,076","±2,983","30.7%","±2.0","167,907","±6,271","33.5%","±1.2","97,084","±3,617","37.8%","±1.4","70,823","±4,641","28.9%","±1.9","64,891","±4,076","33.7%","±2.2","34,884","±2,850","35.2%","±2.9","30,007","±2,542","32.1%","±2.6","24,586","±2,884","29.2%","±3.1","14,061","±2,013","32.3%","±4.3","10,525","±2,038","25.8%","±4.7","28,536","±2,601","33.6%","±2.8","16,353","±1,984","36.1%","±3.8","12,183","±1,829","30.7%","±4.0"
"        Some college or associate's degree","132,392","±5,377","42.0%","±1.6","65,334","±3,926","39.6%","±2.3","67,058","±3,315","44.7%","±2.1","195,645","±6,964","39.0%","±1.4","95,215","±4,155","37.1%","±1.6","100,430","±5,050","41.0%","±2.0","82,495","±4,705","42.8%","±2.3","42,246","±3,052","42.7%","±2.9","40,249","±2,908","43.0%","±3.1","40,350","±2,653","47.9%","±2.9","20,552","±1,966","47.2%","±4.6","19,798","±2,141","48.5%","±4.7","32,480","±2,161","38.2%","±2.6","17,108","±1,668","37.7%","±3.8","15,372","±1,544","38.7%","±4.1"
"        Bachelor's degree or higher","39,906","±3,461","12.7%","±1.1","18,581","±2,299","11.3%","±1.4","21,325","±2,417","14.2%","±1.6","81,443","±4,817","16.2%","±1.0","32,021","±2,874","12.5%","±1.1","49,422","±3,538","20.2%","±1.4","25,617","±3,256","13.3%","±1.7","10,239","±2,064","10.3%","±2.1","15,378","±2,092","16.4%","±2.2","11,353","±1,837","13.5%","±2.2","4,573","±1,261","10.5%","±2.9","6,780","±1,292","16.6%","±3.3","10,271","±2,131","12.1%","±2.5","4,615","±1,242","10.2%","±2.7","5,656","±1,495","14.3%","±3.8"
"    Population 25 years and over","2,166,425","±4,583","(X)","(X)","1,068,081","±4,234","(X)","(X)","1,098,344","±3,089","(X)","(X)","3,941,575","±3,550","(X)","(X)","1,956,301","±3,425","(X)","(X)","1,985,274","±2,681","(X)","(X)","1,307,246","±2,748","(X)","(X)","647,082","±2,423","(X)","(X)","660,164","±2,291","(X)","(X)","520,006","±3,342","(X)","(X)","266,193","±2,741","(X)","(X)","253,813","±2,515","(X)","(X)","615,517","±2,831","(X)","(X)","307,913","±2,476","(X)","(X)","307,604","±2,005","(X)","(X)"
"        Less than 9th grade","62,333","±4,099","2.9%","±0.2","32,336","±2,952","3.0%","±0.3","29,997","±2,374","2.7%","±0.2","99,038","±5,102","2.5%","±0.1","48,246","±3,709","2.5%","±0.2","50,792","±2,785","2.6%","±0.1","48,270","±3,589","3.7%","±0.3","25,627","±2,515","4.0%","±0.4","22,643","±2,589","3.4%","±0.4","10,449","±1,759","2.0%","±0.3","4,894","±1,220","1.8%","±0.5","5,555","±1,238","2.2%","±0.5","15,422","±2,221","2.5%","±0.4","7,181","±1,151","2.3%","±0.4","8,241","±1,597","2.7%","±0.5"
"        9th to 12th grade, no diploma","83,155","±4,777","3.8%","±0.2","46,920","±3,584","4.4%","±0.3","36,235","±2,975","3.3%","±0.3","124,785","±5,890","3.2%","±0.1","70,959","±3,703","3.6%","±0.2","53,826","±3,924","2.7%","±0.2","47,800","±3,760","3.7%","±0.3","26,741","±2,495","4.1%","±0.4","21,059","±2,460","3.2%","±0.4","17,968","±1,997","3.5%","±0.4","11,548","±1,685","4.3%","±0.6","6,420","±1,188","2.5%","±0.5","24,868","±2,613","4.0%","±0.4","13,652","±1,940","4.4%","±0.6","11,216","±1,732","3.6%","±0.6"
"        High school graduate (includes equivalency)","648,610","±10,704","29.9%","±0.5","350,569","±8,032","32.8%","±0.7","298,041","±6,520","27.1%","±0.6","919,678","±11,882","23.3%","±0.3","496,621","±9,033","25.4%","±0.5","423,057","±7,917","21.3%","±0.4","324,140","±8,471","24.8%","±0.6","172,468","±5,803","26.7%","±0.9","151,672","±5,931","23.0%","±0.9","126,581","±4,839","24.3%","±0.9","70,288","±3,363","26.4%","±1.3","56,293","±2,917","22.2%","±1.1","170,305","±5,108","27.7%","±0.8","93,998","±3,258","30.5%","±1.1","76,307","±3,816","24.8%","±1.2"
"        Some college, no degree","423,865","±9,888","19.6%","±0.5","206,574","±5,831","19.3%","±0.5","217,291","±6,988","19.8%","±0.6","754,061","±10,793","19.1%","±0.3","373,745","±8,505","19.1%","±0.4","380,316","±7,447","19.2%","±0.4","276,934","±8,449","21.2%","±0.6","136,076","±5,282","21.0%","±0.8","140,858","±5,690","21.3%","±0.9","118,790","±4,671","22.8%","±0.9","61,951","±3,068","23.3%","±1.2","56,839","±3,368","22.4%","±1.3","125,759","±5,113","20.4%","±0.8","62,591","±3,557","20.3%","±1.1","63,168","±3,566","20.5%","±1.2"
