"Label (Grouping)","Iowa!!Occupied housing units!!Estimate","Iowa!!Occupied housing units!!Margin of Error","Iowa!!Percent occupied housing units!!Estimate","Iowa!!Percent occupied housing units!!Margin of Error","Iowa!!Owner-occupied housing units!!Estimate","Iowa!!Owner-occupied housing units!!Margin of Error","Iowa!!Percent owner-occupied housing units!!Estimate","Iowa!!Percent owner-occupied housing units!!Margin of Error","Iowa!!Renter-occupied housing units!!Estimate","Iowa!!Renter-occupied housing units!!Margin of Error","Iowa!!Percent renter-occupied housing units!!Estimate","Iowa!!Percent renter-occupied housing units!!Margin of Error","Minnesota!!Occupied housing units!!Estimate","Minnesota!!Occupied housing units!!Margin of Error","Minnesota!!Percent occupied housing units!!Estimate","Minnesota!!Percent occupied housing units!!Margin of Error","Minnesota!!Owner-occupied housing units!!Estimate","Minnesota!!Owner-occupied housing units!!Margin of Error","Minnesota!!Percent owner-occupied housing units!!Estimate","Minnesota!!Percent owner-occupied housing units!!Margin of Error","Minnesota!!Renter-occupied housing units!!Estimate","Minnesota!!Renter-occupied housing units!!Margin of Error","Minnesota!!Percent renter-occupied housing units!!Estimate","Minnesota!!Percent renter-occupied housing units!!Margin of Error","Nebraska!!Occupied housing units!!Estimate","Nebraska!!Occupied housing units!!Margin of Error","Nebraska!!Percent occupied housing units!!Estimate","Nebraska!!Percent occupied housing units!!Margin of Error","Nebraska!!Owner-occupied housing units!!Estimate","Nebraska!!Owner-occupied housing units!!Margin of Error","Nebraska!!Percent owner-occupied housing units!!Estimate","Nebraska!!Percent owner-occupied housing units!!Margin of Error","Nebraska!!Renter-occupied housing units!!Estimate","Nebraska!!Renter-occupied housing units!!Margin of Error","Nebraska!!Percent renter-occupied housing units!!Estimate","Nebraska!!Percent renter-occupied housing units!!Margin of Error","North Dakota!!Occupied housing units!!Estimate","North Dakota!!Occupied housing units!!Margin of Error","North Dakota!!Percent occupied housing units!!Estimate","North Dakota!!Percent occupied housing units!!Margin of Error","North Dakota!!Owner-occupied housing units!!Estimate","North Dakota!!Owner-occupied housing units!!Margin of Error","North Dakota!!Percent owner-occupied housing units!!Estimate","North Dakota!!Percent owner-occupied housing units!!Margin of Error","North Dakota!!Renter-occupied housing units!!Estimate","North Dakota!!Renter-occupied housing units!!Margin of Error","North Dakota!!Percent renter-occupied housing units!!Estimate","North Dakota!!Percent renter-occupied housing units!!Margin of Error","South Dakota!!Occupied housing units!!Estimate","South Dakota!!Occupied housing units!!Margin of Error","South Dakota!!Percent occupied housing units!!Estimate","South Dakota!!Percent occupied housing units!!Margin of Error","South Dakota!!Owner-occupied housing units!!Estimate","South Dakota!!Owner-occupied housing units!!Margin of Error","South Dakota!!Percent owner-occupied housing units!!Estimate","South Dakota!!Percent owner-occupied housing units!!Margin of Error","South Dakota!!Renter-occupied housing units!!Estimate","South Dakota!!Renter-occupied housing units!!Margin of Error","South Dakota!!Percent renter-occupied housing units!!Estimate","South Dakota!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","1,337,243","±6,646","1,337,243","±6,646","959,743","±10,180","959,743","±10,180","377,500","±8,256","377,500","±8,256","2,344,432","±8,041","2,344,432","±8,041","1,687,695","±13,737","1,687,695","±13,737","656,737","±11,691","656,737","±11,691","813,864","±4,244","813,864","±4,244","539,532","±6,047","539,532","±6,047","274,332","±5,917","274,332","±5,917","338,059","±3,608","338,059","±3,608","215,363","±4,411","215,363","±4,411","122,696","±4,299","122,696","±4,299","378,559","±3,320","378,559","±3,320","262,639","±4,539","262,639","±4,539","115,920","±4,390","115,920","±4,390"
"    HOUSEHOLD SIZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        1-person household","413,333","±9,091","30.9%","±0.6","232,451","±7,744","24.2%","±0.7","180,882","±5,796","47.9%","±1.3","706,895","±10,809","30.2%","±0.4","379,294","±10,137","22.5%","±0.5","327,601","±7,561","49.9%","±0.9","246,362","±6,616","30.3%","±0.8","116,889","±4,723","21.7%","±0.8","129,473","±5,190","47.2%","±1.6","117,336","±5,048","34.7%","±1.5","50,755","±3,021","23.6%","±1.3","66,581","±4,170","54.3%","±2.9","121,696","±4,488","32.1%","±1.2","64,170","±3,235","24.4%","±1.3","57,526","±3,791","49.6%","±2.8"
"        2-person household","489,993","±8,867","36.6%","±0.7","386,811","±8,055","40.3%","±0.8","103,182","±5,028","27.3%","±1.2","846,051","±10,321","36.1%","±0.4","662,716","±8,470","39.3%","±0.4","183,335","±6,857","27.9%","±0.9","288,961","±7,240","35.5%","±0.9","214,820","±5,396","39.8%","±1.0","74,141","±4,751","27.0%","±1.7","120,337","±4,834","35.6%","±1.4","88,054","±3,260","40.9%","±1.4","32,283","±3,649","26.3%","±2.7","136,829","±5,070","36.1%","±1.3","106,454","±4,018","40.5%","±1.4","30,375","±3,003","26.2%","±2.5"
"        3-person household","175,834","±5,581","13.1%","±0.4","133,791","±5,030","13.9%","±0.5","42,043","±3,732","11.1%","±1.0","304,476","±8,530","13.0%","±0.4","242,743","±7,303","14.4%","±0.4","61,733","±4,838","9.4%","±0.7","103,399","±5,039","12.7%","±0.6","71,879","±4,049","13.3%","±0.8","31,520","±3,134","11.5%","±1.1","39,614","±3,251","11.7%","±1.0","27,966","±2,336","13.0%","±1.1","11,648","±2,060","9.5%","±1.7","44,491","±3,086","11.8%","±0.8","32,410","±2,882","12.3%","±1.0","12,081","±1,994","10.4%","±1.7"
"        4-or-more-person household","258,083","±6,541","19.3%","±0.5","206,690","±6,212","21.5%","±0.6","51,393","±4,391","13.6%","±1.1","487,010","±8,861","20.8%","±0.4","402,942","±7,512","23.9%","±0.4","84,068","±5,844","12.8%","±0.8","175,142","±4,693","21.5%","±0.6","135,944","±4,415","25.2%","±0.7","39,198","±3,350","14.3%","±1.2","60,772","±3,972","18.0%","±1.1","48,588","±3,205","22.6%","±1.3","12,184","±2,191","9.9%","±1.8","75,543","±4,073","20.0%","±1.1","59,605","±3,479","22.7%","±1.3","15,938","±2,285","13.7%","±1.8"
"    OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        1.00 or less occupants per room","1,311,442","±7,057","98.1%","±0.2","948,367","±10,148","98.8%","±0.2","363,075","±7,786","96.2%","±0.6","2,292,303","±8,655","97.8%","±0.2","1,665,162","±13,617","98.7%","±0.1","627,141","±10,949","95.5%","±0.5","794,692","±5,050","97.6%","±0.3","531,002","±5,928","98.4%","±0.3","263,690","±5,696","96.1%","±0.7","332,004","±3,588","98.2%","±0.5","212,394","±4,351","98.6%","±0.5","119,610","±4,439","97.5%","±1.0","370,154","±3,645","97.8%","±0.4","258,746","±4,510","98.5%","±0.4","111,408","±4,293","96.1%","±1.0"
"        1.01 to 1.50 occupants per room","17,796","±2,702","1.3%","±0.2","8,192","±1,562","0.9%","±0.2","9,604","±2,191","2.5%","±0.6","34,175","±3,623","1.5%","±0.2","16,717","±1,981","1.0%","±0.1","17,458","±2,679","2.7%","±0.4","12,362","±2,156","1.5%","±0.3","6,209","±1,359","1.2%","±0.2","6,153","±1,605","2.2%","±0.6","4,457","±1,402","1.3%","±0.4","2,198","±934","1.0%","±0.4","2,259","±942","1.8%","±0.8","5,978","±1,420","1.6%","±0.4","2,833","±969","1.1%","±0.4","3,145","±890","2.7%","±0.8"
"        1.51 or more occupants per room","8,005","±1,750","0.6%","±0.1","3,184","±874","0.3%","±0.1","4,821","±1,445","1.3%","±0.4","17,954","±2,546","0.8%","±0.1","5,816","±1,054","0.3%","±0.1","12,138","±2,257","1.8%","±0.3","6,810","±1,463","0.8%","±0.2","2,321","±913","0.4%","±0.2","4,489","±1,199","1.6%","±0.4","1,598","±677","0.5%","±0.2","771","±417","0.4%","±0.2","827","±504","0.7%","±0.4","2,427","±759","0.6%","±0.2","1,060","±513","0.4%","±0.2","1,367","±629","1.2%","±0.5"
